fandom_kill_id,canon,season_number,episode_number,episode_title,victim_name,method_raw,location_raw,disposal_raw,prior_crimes_text,code_of_harry_flag,season_arc_text,wiki_url
k001,original,1,1,Dexter,Mike Donovan,Knife to chest,Kill room,Open water,Pedophile choir director; killed three boys,true,Pilot kill,https://dexter.fandom.com/wiki/Mike_Donovan
k002,original,1,2,Crocodile,Jamie Jaworski,Knife to chest,Kill room,Open water,Rape and murder; produced violent rape videos,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Jamie_Jaworski
k003,original,1,3,Popping Cherry,Matt Chambers,Knife to chest,Kill room,Open water,Serial drunk driver; multiple aliases; killed four people across states,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Matt_Chambers
k004,original,1,4,Let's Give the Boy a Hand,Jorge Castillo,Knife to chest,Warehouse kill room,Open water,Human trafficker; murdered Cuban refugees,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Jorge_Castillo
k005,original,1,4,Let's Give the Boy a Hand,Valerie Castillo,Knife to chest,Warehouse kill room,Open water,Human trafficker; accomplice in refugee murders,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Valerie_Castillo
k006,original,1,5,Love American Style,Jeremy Downs,Knife to chest,Kill room,Open water,Serial killer; killed multiple boys including his own attacker,true,Ice Truck Killer arc,https://dexter.fandom.com/wiki/Jeremy_Downs
k007,original,1,12,Born Free,Brian Moser,Knife to throat,Kill room,Staged crime scene,Ice Truck Killer; serial killer; Dexter's biological brother,false,Ice Truck Killer arc (finale),https://dexter.fandom.com/wiki/Brian_Moser
k008,original,2,1,It's Alive!,Little Chino,Knife to chest,Warehouse kill room,Open water,Gang enforcer; multiple murders for the 29th Street Kings,true,Bay Harbor Butcher arc,https://dexter.fandom.com/wiki/Little_Chino
k009,original,2,3,An Inconvenient Lie,Roger Hicks,Knife to chest,Kill room,Open water,Serial killer; murdered three brides on their honeymoons,true,Bay Harbor Butcher arc,https://dexter.fandom.com/wiki/Roger_Hicks
k010,original,2,5,The Dark Defender,Jimenez,Knife to chest,Kill room,Open water,Cuban torturer; murdered Camilla's husband and others,true,Bay Harbor Butcher arc,https://dexter.fandom.com/wiki/Jimenez
k011,original,2,12,The British Invasion,Lila West,Knife to chest,Apartment in Paris,Left at scene,Arsonist; murdered Sergeant Doakes; kidnapped Astor and Cody,true,Bay Harbor Butcher arc (finale); not a code-compliant target initially - personal vendetta,https://dexter.fandom.com/wiki/Lila_West
k012,original,3,1,Our Father,Oscar Prado,Self-defense stab,Drug house,Left at scene,Drug dealer; pulled knife on Dexter,false,Miguel Prado arc; accidental and not code-vetted,https://dexter.fandom.com/wiki/Oscar_Prado
k013,original,3,2,Finding Freebo,Freebo,Knife to chest,Apartment,Open water,Drug dealer; murdered two college girls,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Freebo
k014,original,3,4,All in the Family,Ethan Turner,Knife to chest,Cruise ship cabin,Open water,Black widower; murdered three wives for inheritance,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Ethan_Turner
k015,original,3,5,Turning Biminese,Clemson Galt,Knife to chest,Kill room,Open water,Aryan Brotherhood enforcer; multiple murders,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Clemson_Galt
k016,original,3,7,Easy as Pie,Nathan Marten,Knife to chest,Kill room,Open water,Pedophile photographer; targeted Astor,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Nathan_Marten
k017,original,3,9,About Last Night,Billy Fleeter,Knife to chest,Kill room,Open water,Bookie and hitman; murdered debtors,true,Miguel Prado arc,https://dexter.fandom.com/wiki/Billy_Fleeter
k018,original,3,11,I Had a Dream,Miguel Prado,Strangulation with garrote wire,Hotel room,Open water,Corrupt ADA; murdered Ellen Wolf; ordered hits,true,Miguel Prado arc (finale lead-up),https://dexter.fandom.com/wiki/Miguel_Prado
k019,original,3,12,Do You Take Dexter Morgan?,George King,Knife to chest,Police station vehicle,Left at scene,The Skinner; Nicaraguan secret police torturer; multiple murders,true,Miguel Prado arc (Skinner finale),https://dexter.fandom.com/wiki/George_King
k020,original,4,1,Living the Dream,Benny Gomez,Strangulation with garrote,Boxing gym,Open water,Retired boxer; beat two opponents to death in the ring,true,Trinity arc,https://dexter.fandom.com/wiki/Benny_Gomez
k021,original,4,3,Blinded by the Light,Zoey Kruger,Knife to chest,Suburban home,Open water,Corrupt cop; murdered her husband and child,true,Trinity arc,https://dexter.fandom.com/wiki/Zoey_Kruger
k022,original,4,5,Dirty Harry,Jonathan Farrow,Knife to chest,Photography studio,Open water,Celebrity photographer; framed as serial rapist; actually innocent,false,Trinity arc; innocent victim - major code violation,https://dexter.fandom.com/wiki/Jonathan_Farrow
k023,original,4,8,Road Kill,Stan Beaudry,Knife to chest,Truck cabin,Open water,Trucker; murdered prostitutes; framed as Trinity decoy,true,Trinity arc,https://dexter.fandom.com/wiki/Stan_Beaudry
k024,original,4,12,The Getaway,Arthur Mitchell,Blunt force with hammer,Trinity's kill room,Wrapped in plastic,Trinity Killer; over thirty murders across multiple states over thirty years,true,Trinity arc (finale),https://dexter.fandom.com/wiki/Arthur_Mitchell
k025,original,5,1,My Bad,Boyd Fowler,Knife to chest,Kill room,Barrel,Septic worker; murdered four women - the Barrel Girls,true,Barrel Girls arc,https://dexter.fandom.com/wiki/Boyd_Fowler
